YEAR,CPS_ADJ_NHWHITE_RATE,CPS_ADJ_NHBLACK_RATE,CPS_ADJ_HISPANIC_RATE,CPS_ADJ_OTHER_RATE,CPS_ADJ_NHWHITE_SHARE,CPS_ADJ_NHBLACK_SHARE,CPS_ADJ_HISPANIC_SHARE,CPS_ADJ_OTHER_SHARE,CPS_UNADJ_NHWHITE_RATE,CPS_UNADJ_NHBLACK_RATE,CPS_UNADJ_HISPANIC_RATE,CPS_UNADJ_OTHER_RATE,CPS_UNADJ_NHWHITE_SHARE,CPS_UNADJ_NHBLACK_SHARE,CPS_UNADJ_HISPANIC_SHARE,CPS_UNADJ_OTHER_SHARE,CPS_ADJ_AGE1829_RATE,CPS_ADJ_AGE3044_RATE,CPS_ADJ_AGE4559_RATE,CPS_ADJ_AGE60_RATE,CPS_ADJ_AGE1829_SHARE,CPS_ADJ_AGE3044_SHARE,CPS_ADJ_AGE4559_SHARE,CPS_ADJ_AGE60_SHARE,CPS_UNADJ_AGE1829_RATE,CPS_UNADJ_AGE3044_RATE,CPS_UNADJ_AGE4559_RATE,CPS_ADJ_UNAGE60_RATE,CPS_ADJ_UNAGE1829_SHARE,CPS_ADJ_UNAGE3044_SHARE,CPS_ADJ_UNAGE4559_SHARE,CPS_ADJ_UNAGE60_SHARE,CPS_ADJ_NOHS_RATE,CPS_ADJ_HS_RATE,CPS_ADJ_COLLEGE_RATE,CPS_ADJ_POST_RATE,CPS_ADJ_NOHS_SHARE,CPS_ADJ_HS_SHARE,CPS_ADJ_COLLEGE_SHARE,CPS_ADJ_POST_SHARE,CPS_UNADJ_NOHS_RATE,CPS_UNADJ_HS_RATE,CPS_UNADJ_COLLEGE_RATE,CPS_UNADJ_POST_RATE,CPS_UNADJ_NOHS_SHARE,CPS_UNADJ_HS_SHARE,CPS_UNADJ_COLLEGE_SHARE,CPS_UNADJ_POST_SHARE
2022,0.5284,0.4064,0.3054,0.3425,0.7388,0.1114,0.0945,0.0553,0.5764,0.4519,0.3786,0.4145,0.7326,0.1136,0.0968,0.0570,0.2547,0.4007,0.5232,0.6312,0.1173,0.2205,0.2550,0.4073,0.3118,0.4692,0.5661,0.6576,0.1172,0.2205,0.2549,0.4074,0.2043,0.3450,0.5263,0.7030,0.0351,0.2238,0.5616,0.1795,0.2589,0.4045,0.5766,0.7104,0.0356,0.2230,0.5606,0.1808
2020,0.7257,0.6563,0.5253,0.5976,0.7124,0.1220,0.1061,0.0595,0.7094,0.6269,0.5374,0.5896,0.7103,0.1235,0.1064,0.0598,0.5251,0.6444,0.7291,0.7804,0.1646,0.2314,0.2510,0.3530,0.5411,0.6437,0.6998,0.7426,0.1646,0.2316,0.2510,0.3528,0.3632,0.5420,0.7687,0.9036,0.0456,0.2423,0.5582,0.1538,0.4041,0.5546,0.7322,0.8296,0.0458,0.2422,0.5579,0.1541
2018,0.5521,0.5131,0.3688,0.3969,0.7326,0.1222,0.0940,0.0512,0.5747,0.5093,0.4039,0.4200,0.7284,0.1238,0.0956,0.0663,0.3264,0.4579,0.5624,0.6551,0.1378,0.2126,0.2728,0.3732,0.3557,0.4879,0.5778,0.6566,0.1381,0.2161,0.2726,0.3731,0.2303,0.3885,0.5850,0.7679,0.0419,0.2273,0.5659,0.1649,0.2722,0.4208,0.5931,0.7400,0.0422,0.2272,0.5654,0.1652
2016,0.6468,0.5986,0.4491,0.4625,0.7363,0.1234,0.0908,0.0495,0.6530,0.5927,0.4757,0.4899,0.7333,0.1243,0.0922,0.0502,0.4340,0.5691,0.6623,0.7138,0.1571,0.2247,0.2822,0.3360,0.4613,0.5875,0.6589,0.7034,0.1572,0.2249,0.2820,0.3359,0.3067,0.4878,0.6861,0.8497,0.0506,0.2462,0.5572,0.1460,0.3433,0.5155,0.6776,0.8027,0.0508,0.2456,0.5574,0.1462
2014,0.4077,0.3638,0.2112,0.2448,0.7692,0.1192,0.0701,0.0415,0.4576,0.4038,0.2700,0.2945,0.7626,0.1210,0.0734,0.0429,0.1628,0.3013,0.4261,0.5494,0.1000,0.2030,0.3028,0.3943,0.1986,0.3563,0.4730,0.5872,0.1000,0.2028,0.3023,0.3949,0.1756,0.2899,0.4136,0.5992,0.0505,0.2429,0.5491,0.1575,0.2220,0.3393,0.4624,0.6202,0.0510,0.2413,0.5492,0.1585
2012,0.6180,0.6740,0.4310,0.4540,0.7410,0.1320,0.0830,0.0440,0.6410,0.6640,0.4800,0.4900,0.7370,0.1340,0.0840,0.0450,0.4090,0.5620,0.6600,0.7120,0.1540,0.2310,0.3000,0.3150,0.4500,0.5950,0.6690,0.7180,0.1550,0.2310,0.2990,0.3150,0.3260,0.4880,0.6770,0.8490,0.0620,0.2590,0.5480,0.1310,0.3800,0.5260,0.6840,0.8140,0.0620,0.2590,0.5480,0.1310
2010,0.4500,0.4160,0.2660,0.3070,0.7790,0.1140,0.0680,0.0390,0.4860,0.4380,0.3120,0.3410,0.7750,0.1170,0.0690,0.0390,0.2030,0.3610,0.5040,0.5900,0.1130,0.2190,0.3270,0.3430,0.2400,0.4040,0.5260,0.6080,0.1130,0.2190,0.3260,0.3430,0.2070,0.3420,0.4770,0.6690,0.0580,0.2610,0.5390,0.1420,0.2510,0.3790,0.5070,0.6710,0.0590,0.2610,0.5380,0.1420
2008,0.6520,0.6910,0.4650,0.4800,0.7660,0.1230,0.0730,0.0380,0.6610,0.6520,0.4990,0.4950,0.7630,0.1240,0.0740,0.0390,0.4840,0.6070,0.6950,0.7100,0.1710,0.2480,0.3060,0.2760,0.5110,0.6180,0.6850,0.7080,0.1710,0.2480,0.3060,0.2760,0.3410,0.5300,0.7330,0.8790,0.0690,0.2740,0.5400,0.1180,0.3940,0.5490,0.7150,0.8270,0.0690,0.2740,0.5400,0.1180
2006,0.4470,0.3660,0.2550,0.2850,0.8100,0.1000,0.0560,0.0340,0.5160,0.4120,0.3230,0.3340,0.8040,0.1030,0.0580,0.0340,0.2030,0.3630,0.5040,0.5760,0.1120,0.2390,0.3360,0.3130,0.2550,0.4300,0.5600,0.6310,0.1120,0.2390,0.3350,0.3140,0.2110,0.3420,0.4790,0.6740,0.0690,0.2750,0.5260,0.1300,0.2740,0.4060,0.5390,0.6960,0.0700,0.2740,0.5260,0.1300
2004,0.6430,0.6140,0.4290,0.4490,0.7950,0.1110,0.0590,0.0360,0.6720,0.6030,0.4720,0.4800,0.7920,0.1120,0.0600,0.0360,0.4500,0.5950,0.6900,0.6970,0.1600,0.2730,0.3060,0.2610,0.4900,0.6240,0.7000,0.7140,0.1600,0.2730,0.3060,0.2610,0.3390,0.5280,0.7180,0.8790,0.0800,0.2860,0.5210,0.1130,0.3950,0.5640,0.7220,0.8420,0.0810,0.2860,0.5210,0.1130
