STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
United States,,"130,231,296","129,070,906","240,897,888",8.40%,"1,473,412","2,342,582","637,410","3,352,390","5,127,418","222,437,494",58.57%,54.09%
Alabama,AL,"2,083,309","2,074,338","3,705,982",2.60%,"32,232","57,993","8,616","71,584",,"3,538,042",58.88%,56.21%
Alaska,AK,"301,694","300,495","544,269",3.80%,"5,633","7,173","1,882","11,317",,"512,270",58.89%,55.43%
Arizona,AZ,"2,323,579","2,306,559","4,963,741",9.90%,"35,188","72,452","7,460","81,048",,"4,391,282",52.91%,46.81%
Arkansas,AR,"1,078,548","1,069,468","2,244,163",3.50%,"14,471","30,122","23,372","53,808",,"2,111,810",51.07%,48.06%
California,CA,"13,202,158","13,038,547","28,871,296",17.40%,"119,455",0,89287,"208,742",,"23,638,949",55.85%,45.73%
Colorado,CO,"2,596,173","2,569,522","3,980,623",6.90%,"18,807",0,11458,"30,265",,"3,675,695",70.63%,65.22%
Connecticut,CT,"1,560,640","1,558,960","2,804,156",8.50%,"16,935",0,2793,"19,728",,"2,546,075",61.30%,55.65%
Delaware,DE,"417,631","413,921","714,081",5.10%,"6,610","15,641",601,"15,501",,"662,162",63.07%,58.49%
District of Columbia,DC,"294,254","293,764","531,080",9.70%,0,0,0,0,,"479,566",61.36%,55.41%
Florida,FL,"8,538,264","8,474,179","15,367,936",10.80%,"91,954","240,869","4,538","224,153",,"13,484,046",63.32%,55.56%
Georgia,GA,"3,919,355","3,900,050","7,441,387",7.20%,"52,737","442,061","24,761","311,790",,"6,593,817",59.44%,52.67%
Hawaii,HI,"437,159","434,697","1,091,451",9.20%,"5,544",0,0,"5,544",,"985,494",44.36%,40.05%
Idaho,ID,"666,290","652,274","1,172,481",4.60%,"7,985","31,606","3,848","28,584",,"1,089,963",61.13%,56.83%
Illinois,IL,"5,279,752","5,242,014","9,838,883",8.90%,"49,348",0,0,"49,348",,"8,913,874",59.23%,53.66%
Indiana,IN,"2,663,368","2,624,534","4,959,521",3.60%,"28,266",0,0,"28,266",,"4,752,712",56.04%,53.70%
Iowa,IA,"1,589,951","1,582,180","2,356,497",3.20%,"8,470","29,333","5,151","29,167",,"2,251,922",70.60%,67.47%
Kansas,KS,"1,182,771","1,156,254","2,162,245",5.00%,"9,346","17,021","5,126","23,493",,"2,030,640",58.25%,54.70%
Kentucky,KY,"1,815,843","1,797,212","3,374,444",2.20%,"21,863","54,511","14,419","65,173",,"3,235,034",56.13%,53.81%
Louisiana,LA,"2,014,548","1,994,065","3,495,424",2.70%,"40,047","41,298","28,946","90,881",,"3,310,167",60.86%,57.63%
