NAME,VEP,VEP_relative
United States,58.57,0.0
Alabama,58.88,0.31
Alaska,58.89,0.32
Arizona,52.91,-5.66
Arkansas,51.07,-7.5
California,55.85,-2.72
Colorado,70.63,12.06
Connecticut,61.3,2.73
Delaware,63.07,4.5
District of Columbia,61.36,2.79
Florida,63.32,4.75
Georgia,59.44,0.87
Hawaii,44.36,-14.21
Idaho,61.13,2.56
Illinois,59.23,0.66
Indiana,56.04,-2.53
Iowa,70.6,12.03
Kansas,58.25,-0.32
Kentucky,56.13,-2.44
Louisiana,60.86,2.29
Maine,69.38,10.81
Maryland,67.3,8.73
Massachusetts,66.0,7.43
Michigan,65.25,6.68
Minnesota,76.5,17.93
Mississippi,59.34,0.77
Missouri,64.11,5.54
Montana,63.64,5.07
Nebraska,61.15,2.58
Nevada,56.62,-1.95
New Hampshire,70.74,12.17
New Jersey,62.41,3.84
New Mexico,54.66,-3.91
New York,53.51,-5.06
North Carolina,65.34,6.77
North Dakota,60.52,1.95
Ohio,65.13,6.56
Oklahoma,49.47,-9.1
Oregon,64.28,5.71
Pennsylvania,59.9,1.33
Rhode Island,58.49,-0.08
South Carolina,56.91,-1.66
South Dakota,60.19,1.62
Tennessee,52.36,-6.21
Texas,49.57,-9.0
Utah,56.17,-2.4
Vermont,61.24,2.67
Virginia,66.72,8.15
Washington,65.83,7.26
West Virginia,47.35,-11.22
Wisconsin,73.37,14.8
Wyoming,59.03,0.46
